Date,Time,Close,Open,High,Low,Volume
20260918,102000,83500,83400,83500,83300,1472
20260918,102100,83400,83500,83500,83300,566
20260918,102200,83400,83400,83500,83300,337
20260918,102300,83300,83400,83400,83300,789
20260918,102400,83300,83300,83300,83200,159
20260918,102500,83200,83300,83300,83100,1781
20260918,102600,83200,83200,83200,83100,368
20260918,102700,83100,83200,83200,83100,404
20260918,102800,83100,83200,83200,83100,275
20260918,102900,83200,83200,83200,83100,230
20260918,103000,83200,83100,83200,83100,588
20260918,103100,83000,83200,83200,82900,5961
20260918,103200,83100,83000,83200,83000,1844
20260918,103300,83100,83100,83100,83000,296
20260918,103400,83000,83100,83100,83000,277
20260918,103500,83100,83100,83200,83000,1923
20260918,103600,83200,83100,83300,83100,1551
20260918,103700,83400,83200,83400,83200,732
20260918,103800,83400,83300,83400,83300,1188
20260918,103900,83400,83400,83400,83300,254
20260918,104000,83400,83400,83400,83300,318
20260918,104100,83400,83400,83400,83300,316
20260918,104200,83400,83300,83400,83300,231
20260918,104300,83400,83300,83400,83300,97
20260918,104400,83200,83400,83400,83200,2432
20260918,104500,83300,83200,83300,83200,518
20260918,104600,83300,83300,83300,83200,233
20260918,104700,83300,83200,83300,83200,56
20260918,104800,83300,83300,83300,83200,257
20260918,104900,83200,83300,83300,83200,194
20260918,105000,83300,83300,83300,83200,282
20260918,105100,83200,83300,83300,83200,102
20260918,105200,83200,83300,83300,83200,469
20260918,105300,83300,83200,83300,83200,287
20260918,105400,83300,83200,83300,83200,231
20260918,105500,83300,83300,83300,83200,84
20260918,105600,83300,83300,83300,83200,272
20260918,105700,83300,83250,83300,83200,188
20260918,105800,83300,83300,83300,83200,509
20260918,105900,83300,83300,83300,83200,182
20260918,110000,83300,83300,83300,83200,817
20260918,110100,83300,83300,83300,83200,205
20260918,110200,83300,83300,83300,83200,361
20260918,110300,83300,83300,83300,83200,239
20260918,110400,83300,83300,83300,83200,750
20260918,110500,83200,83300,83300,83200,104
20260918,110600,83200,83200,83300,83200,612
20260918,110700,83300,83200,83300,83200,233
20260918,110800,83300,83300,83300,83200,806
20260918,110900,83300,83300,83300,83200,92
20260918,111000,83400,83300,83500,83300,2995
20260918,111100,83500,83500,83500,83400,254
20260918,111200,83500,83500,83500,83400,534
20260918,111300,83600,83500,83600,83500,505
20260918,111400,83600,83600,83700,83500,944
20260918,111500,83700,83600,83700,83500,382
20260918,111600,83700,83700,83700,83600,187
20260918,111700,83700,83650,83700,83600,291
20260918,111800,83600,83700,83700,83600,364
20260918,111900,83700,83700,83700,83600,262
20260918,112000,83600,83600,83700,83600,351
20260918,112100,83700,83700,83700,83600,1148
20260918,112200,83600,83700,83700,83600,549
20260918,112300,83700,83700,83700,83600,232
20260918,112400,83700,83700,83700,83700,798
20260918,112500,83800,83700,83800,83600,756
20260918,112600,83800,83700,83800,83700,531
20260918,112700,83700,83700,83800,83700,536
20260918,112800,83700,83700,83700,83600,285
20260918,112900,83700,83700,83700,83700,35
20260918,113000,83700,83700,83700,83600,425
20260918,113100,83700,83700,83700,83600,194
20260918,113200,83700,83700,83700,83600,499
20260918,113300,83700,83700,83700,83600,454
20260918,113400,83700,83700,83700,83600,465
20260918,113500,83700,83700,83700,83600,334
20260918,113600,83700,83700,83800,83700,1867
20260918,113700,83700,83700,83800,83650,424
20260918,113800,83700,83650,83700,83600,454
20260918,113900,83700,83700,83700,83600,246
20260918,114000,83600,83700,83700,83500,1387
20260918,114100,83700,83600,83700,83600,1319
20260918,114200,83650,83700,83700,83600,220
20260918,114300,83700,83700,83700,83600,343
20260918,114400,83700,83700,83700,83600,337
20260918,114500,83700,83700,83700,83700,301
20260918,114600,83700,83700,83700,83600,622
20260918,114700,83700,83600,83700,83600,277
20260918,114800,83700,83700,83700,83700,284
20260918,114900,83800,83700,83800,83600,893
20260918,115000,83800,83800,83800,83700,546
20260918,115100,83700,83800,83800,83600,290
20260918,115200,83800,83800,83800,83700,744
20260918,115300,83800,83700,83800,83700,146
20260918,115400,83800,83750,83800,83700,455
20260918,115500,83800,83800,83800,83700,733
20260918,115600,83700,83800,83800,83600,1043
20260918,115700,83700,83700,83800,83600,792
